rank,app_id,app_name,artist_name,url,artwork,date,country,feed,genre_id,genre_name
1,6761760135,Meowdoku!,Oakever Games,https://apps.apple.com/us/app/meowdoku/id6761760135?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/fc/fe/6d/fcfe6dcf-aa1d-ef3f-e01d-e5eac2d16178/AppIcon-0-0-1x_U007ephone-0-11-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
2,6752672568,Block Out! - Color Sort Puzzle,Grand Games A.Ş.,https://apps.apple.com/us/app/block-out-color-sort-puzzle/id6752672568?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/42/22/df/4222df44-fbaa-9fe1-f732-d1aec055395c/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
3,6499209744,Magic Sort!,Grand Games A.Ş.,https://apps.apple.com/us/app/magic-sort/id6499209744?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/61/df/dc/61dfdca9-6c81-db86-1756-5b63b642a0a8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
4,6748397500,Arrows – Puzzle Escape,Lessmore GmbH,https://apps.apple.com/us/app/arrows-puzzle-escape/id6748397500?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/8d/12/50/8d12503f-10ab-e482-7ec1-5088c4af8cd8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
5,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",https://apps.apple.com/us/app/bus-traffic-fever/id6759763476?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/b0/85/8c/b0858cef-e647-671a-19e6-c0d17dd02d45/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
6,1617391485,Block Blast！,Hungry Studio,https://apps.apple.com/us/app/block-blast/id1617391485?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/3a/c3/b3/3ac3b3bb-a768-8bc1-b1b2-fcc291a55b43/AppIcon-0-0-1x_U007emarketing-0-11-0-sRGB-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
7,6758326278,Amaze GO!,Oakever Games,https://apps.apple.com/us/app/amaze-go/id6758326278?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/69/a2/57/69a25772-6707-b207-50a6-dbe244ea8442/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
8,6759081967,Jewel Coloring,Ta Ta Game Technology Limited,https://apps.apple.com/us/app/jewel-coloring/id6759081967?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/62/f1/cf/62f1cf1a-3f79-100e-3708-66b3fb582a17/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
9,6751056652,Pixel Flow!,Loom Games Oyun Yazilim ve Pazarlama Anonim Sirketi,https://apps.apple.com/us/app/pixel-flow/id6751056652?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/0a/a1/40/0aa140e6-9524-2453-a1f8-e75bbedc49c0/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
10,6754839783,Bubble Word Jam,Lion Studios Plus,https://apps.apple.com/us/app/bubble-word-jam/id6754839783?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/cf/a2/de/cfa2de64-164c-e3cf-1e2f-f2182d085439/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
11,6471045672,Tasty Travels: Merge Game,Century Games Pte. Ltd.,https://apps.apple.com/us/app/tasty-travels-merge-game/id6471045672?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/cc/cc/f2/ccccf200-20e5-c0fa-68fc-2ea32d90371c/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
12,1623318294,Gossip Harbor®: Merge & Story,Microfun Limited,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d5/d7/02/d5d702dd-af54-09a5-21d1-ed6db319d310/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
13,638689075,Township,Playrix,https://apps.apple.com/us/app/township/id638689075?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/f3/d3/ab/f3d3abe7-ac2f-d4a3-1683-0873d183913e/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
14,1606549505,Royal Kingdom,Dream Games,https://apps.apple.com/us/app/royal-kingdom/id1606549505?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/5c/c4/75/5cc4753e-cd56-1020-daa7-a09f15857a63/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
